,0
0,1000000.0
1,999639.8424318931
2,1000520.5096885756
3,997733.3916986359
4,997082.0487986084
5,993844.2969181894
6,989911.146039468
7,988558.9073261914
8,979707.5856321994
9,980083.0055592563
10,982193.277917348
11,954580.9266576531
12,983530.6082088568
13,979961.6527268289
14,982940.5961103383
15,980154.3853045902
16,989888.0397941459
17,1014099.2181036233
18,987871.9526934598
19,975559.1660972417
20,975842.7600557618
21,987359.2570591938
22,988521.5860058917
23,1004351.5891123452
24,1026380.1164626388
25,1028170.5011996796
26,981936.401462909
27,995713.5538039444
28,999232.698239453
29,989850.4926263461
30,934915.5324413081
31,934566.362154906
32,925891.4888468413
33,915368.1327830069
34,868397.2050163281
35,919937.8035061556
36,898358.1165960417
37,886517.2510742072
38,877325.7986296556
39,837327.2875320646
40,827285.4136071653
41,852592.530895677
42,810533.9115348144
43,809157.2379678929
44,791814.1190007342
45,854034.4990046424
46,864612.7264565246
47,901630.1006814481
48,919428.0096424912
49,906252.8109388449
50,936284.4331010057
51,960259.7909883307
52,938766.0749324171
53,917695.2430775745
54,992672.9709995729
55,976592.5736720483
56,985089.9523275766
57,1005571.80567795
58,981334.4791932943
59,940393.9447216691
60,961068.3442018419
61,983509.5618580679
62,1018997.7450092857
63,1034501.2009137261
64,1029326.6005886764
65,1011249.7900118487
66,1015341.1952045999
67,1061004.2220321218
68,1070699.8812921876
69,1037263.6030583363
70,1058263.718226306
71,1065024.3773742476
72,1068914.0861897555
73,1030235.1571975102
74,1042459.9859846394
75,1038312.2719996951
76,1049598.054257211
77,1072283.4238320428
78,1065294.9584570131
79,1069115.474404439
80,1091738.2790496924
81,1108515.5691327115
82,1109131.7423407137
83,1142375.5553098242
84,1150482.712866461
85,1156363.0413880276
86,1152169.057889638
87,1189350.14457139
88,1161709.480082395
89,1159908.1326085508
90,1127746.1077135268
91,1142335.3891261555
92,1135771.8582986863
93,1175716.9798918422
94,1169570.232001563
95,1168660.5927610283
96,1144539.338630911
97,1138315.9639407017
98,1165001.4878527338
99,1149036.221501143
100,1154829.0691042421
101,1172240.7637448066
102,1204477.9502122519
103,1215890.5432627916
104,1203101.6340772975
105,1213522.785254454
106,1215083.9876304038
107,1207661.5145243614
108,1212586.1246113733
109,1204178.1442231883
110,1191053.0828164383
111,1193499.1474014157
112,1167683.2317756605
113,1154770.3788285933
114,1150140.549348312
115,1160555.0704334956
116,1158444.8268755537
117,1122884.388532325
118,1120494.8981196857
119,1117038.0157581891
120,1145039.4323842302
121,1139669.353940866
122,1150528.52752641
123,1136528.619479232
124,1143809.9584439597
125,1112755.4837968484
126,1122968.8889118265
127,1098978.1821252354
128,1099856.7722579688
129,1100292.9214765884
130,1100343.7100474306
131,1124428.271067808
132,1127507.1596887377
133,1167218.521280016
134,1181258.8274097885
135,1179186.8735897432
136,1209370.234794665
137,1237380.9704778432
138,1230260.099412454
139,1261394.4679102951
140,1269781.9104908346
141,1272024.3287203752
142,1273881.0272895056
143,1261297.140172203
144,1275566.0894000207
145,1276312.9476689817
146,1291441.4701366834
147,1308472.8981265947
148,1304939.791032959
149,1312856.5750425656
150,1329072.1427854095
151,1321199.0806581937
152,1309600.3030593963
153,1324422.53577336
154,1322803.2567434523
155,1304463.3498124648
156,1272750.1853272766
157,1289273.033650046
158,1299036.1830774595
159,1311546.8413055849
160,1339119.4007369902
161,1342149.7374472758
162,1344406.9024382068
163,1342540.600888466
164,1349326.2691483994
165,1340867.2923286404
166,1323485.9668494312
167,1291061.830536576
168,1291598.6421245623
169,1305492.9088184333
170,1324966.954784656
171,1339918.2137643094
172,1354890.3051592244
173,1363547.6996267121
174,1360042.4592362347
175,1364689.196107064
176,1390602.6272338643
177,1416711.7276620467
178,1421193.1369473129
179,1420388.6479436383
180,1400021.5017881081
181,1414458.3212625172
182,1395693.2648943583
183,1387545.1271261766
184,1380247.858757865
185,1405106.6571213673
186,1398284.4717801283
187,1392319.4171433484
188,1357867.7760547292
189,1349563.3656636088
190,1373576.3387742375
191,1392263.6913533509
192,1395193.139893964
193,1411103.2344071737
194,1416446.008776059
195,1415699.1826586602
196,1412962.706623333
197,1439837.5825837443
198,1450664.1103333388
199,1449536.8561840947
200,1482313.3920820404
201,1484443.4074527852
202,1468290.7473948286
203,1492916.5562815836
204,1463299.7076140842
205,1455512.8844759956
206,1464575.9251700728
207,1432428.745988159
208,1471894.9477101013
209,1427968.47600885
210,1442854.6955811246
211,1449126.3537874673
212,1450849.95006393
213,1491099.1680774356
214,1486246.0031862617
215,1526835.6720368003
216,1528049.983056328
217,1536615.465122986
218,1515806.044510649
219,1533042.7889162996
220,1567221.0829755114
221,1562570.599327962
222,1561182.7408279215
223,1546472.353635901
224,1543350.6948865403
225,1558133.3300549171
226,1556837.587537011
227,1571009.8159622343
228,1539172.8545168818
229,1551820.1196521858
230,1567830.9470133288
231,1555436.927394226
232,1527178.746114724
233,1528184.700204895
234,1525302.1928165127
235,1503902.2433499605
236,1507952.4062706842
237,1517429.8331203025
238,1531601.0389249604
239,1532590.7747111141
240,1526592.274051951
241,1526102.8800926085
242,1507079.2676768717
243,1504703.7222830073
244,1517011.7046728076
