,0
0,1512835.0
1,1512392.790076332
2,1512298.023560545
3,1512298.023560545
4,1512298.023560545
5,1512298.023560545
6,1512298.023560545
7,1512298.023560545
8,1512298.023560545
9,1512298.023560545
10,1512298.023560545
11,1512298.023560545
12,1512298.023560545
13,1512298.023560545
14,1512298.023560545
15,1512298.023560545
16,1512298.023560545
17,1512298.023560545
18,1512298.023560545
19,1512298.023560545
20,1512298.023560545
21,1512298.023560545
22,1512298.023560545
23,1512298.023560545
24,1512298.023560545
25,1512298.023560545
26,1512298.023560545
27,1512298.023560545
28,1512298.023560545
29,1512298.023560545
30,1512298.023560545
31,1512298.023560545
32,1512298.023560545
33,1512298.023560545
34,1508910.9736548252
35,1508808.1989258744
36,1508808.1989258744
37,1508808.1989258744
38,1508808.1989258744
39,1508808.1989258744
40,1508808.1989258744
41,1508808.1989258744
42,1508808.1989258744
43,1508808.1989258744
44,1508808.1989258744
45,1508808.1989258744
46,1508808.1989258744
47,1508808.1989258744
48,1508808.1989258744
49,1508808.1989258744
50,1508808.1989258744
51,1508808.1989258744
52,1508808.1989258744
53,1508808.1989258744
54,1508808.1989258744
55,1508808.1989258744
56,1508808.1989258744
57,1508808.1989258744
58,1508808.1989258744
59,1508808.1989258744
60,1508808.1989258744
61,1508808.1989258744
62,1508808.1989258744
