datadate,account_value
20190405,1000000.0
20190408,1000148.8979594115
20190409,1000032.3329098853
20190410,1000032.3329098853
20190411,1000032.3329098853
20190412,1000032.3329098853
20190415,1000032.3329098853
20190416,1000032.3329098853
20190417,1000032.3329098853
20190418,1000032.3329098853
20190422,1000032.3329098853
20190423,1000032.3329098853
20190424,1000032.3329098853
20190425,1000032.3329098853
20190426,1000032.3329098853
20190429,1000032.3329098853
20190430,1000032.3329098853
20190501,1000032.3329098853
20190502,1000032.3329098853
20190503,1000032.3329098853
20190506,1000032.3329098853
20190507,1000032.3329098853
20190508,1000032.3329098853
20190509,1000032.3329098853
20190510,1000032.3329098853
20190513,1000032.3329098853
20190514,1000032.3329098853
20190515,1000032.3329098853
20190516,1000032.3329098853
20190517,1000032.3329098853
20190520,1000032.3329098853
20190521,1000032.3329098853
20190522,1000032.3329098853
20190523,1000032.3329098853
20190524,1000032.3329098853
20190528,1000032.3329098853
20190529,1000032.3329098853
20190530,1000032.3329098853
20190531,1000032.3329098853
20190603,1000032.3329098853
20190604,1000032.3329098853
20190605,1000032.3329098853
20190606,1000032.3329098853
20190607,1000032.3329098853
20190610,1000032.3329098853
20190611,1000032.3329098853
20190612,1000032.3329098853
20190613,1000032.3329098853
20190614,1000032.3329098853
20190617,1000032.3329098853
20190618,1000032.3329098853
20190619,1000032.3329098853
20190620,1000032.3329098853
20190621,1000032.3329098853
20190624,1000032.3329098853
20190625,1000032.3329098853
20190626,1000032.3329098853
20190627,1000301.6006456641
20190628,1000281.9248928829
20190701,1002454.1249196356
20190702,1003881.8933239173
20190703,1008167.7032883374
20190705,1007561.7025312345
