datadate,reward
20180104,12865.100524778478
20180105,22145.352601598715
20180108,-1601.324226622004
20180109,0.0
20180110,0.0
20180111,0.0
20180112,0.0
20180116,0.0
20180117,0.0
20180118,0.0
20180119,0.0
20180122,0.0
20180123,0.0
20180124,0.0
20180125,0.0
20180126,0.0
20180129,0.0
20180130,0.0
20180131,0.0
20180201,0.0
20180202,0.0
20180205,0.0
20180206,0.0
20180207,0.0
20180208,0.0
20180209,0.0
20180212,0.0
20180213,0.0
20180214,0.0
20180215,0.0
20180216,0.0
20180220,0.0
20180221,0.0
20180222,0.0
20180223,0.0
20180226,0.0
20180227,0.0
20180228,0.0
20180301,0.0
20180302,0.0
20180305,0.0
20180306,0.0
20180307,0.0
20180308,0.0
20180309,0.0
20180312,0.0
20180313,0.0
20180314,0.0
20180315,0.0
20180316,0.0
20180319,-2422.908197975019
20180320,1989.835601997096
20180321,-570.2740560532548
20180322,-22372.780359840486
20180323,-13481.98723278055
20180326,28050.469990158454
20180327,-20254.82424049382
20180328,-1019.0781261443626
20180329,18452.1451436996
20180402,-32717.164198631188
20180403,22564.940095128957
20180404,14429.30260001379
