datadate,account_value
20160104,1000000.0
20160105,999718.9787823142
20160106,997061.9170412365
20160107,992100.958103729
20160108,989517.1796989782
20160111,991038.9689942912
20160112,992903.6964376733
20160113,981746.9201192261
20160114,987480.388830278
20160115,974924.9819418197
20160119,977127.3187578919
20160120,967341.1869644138
20160121,969057.4016193477
20160122,980894.0218034508
20160125,967262.464644582
20160126,977831.9608640302
20160127,968172.9471743939
20160128,972061.110545154
20160129,1002233.6720498765
20160201,1001869.0268478654
20160202,982604.2704169076
20160203,987496.120202804
20160204,995070.0896139863
20160205,983406.5827030366
20160208,958742.7419550546
20160209,959931.4231409295
20160210,959364.4822109616
20160211,936125.7635107816
20160212,959453.4840048155
20160216,975170.5582559904
20160217,992726.5581739343
20160218,988496.8945208467
20160219,990407.1360610689
20160222,1004986.3236598676
20160223,994892.7078551783
20160224,997257.4610321306
20160225,1011753.5653509172
20160226,1010742.3165593942
20160229,1003047.8814106553
20160301,1028826.8330786871
20160302,1027810.6086204256
20160303,1032241.862300176
20160304,1035315.0861916707
20160307,1030825.358479051
20160308,1021806.9457528356
20160309,1020547.0914739965
20160310,1022178.7635733694
20160311,1040592.6125423425
20160314,1040340.3688021997
20160315,1038941.2232911905
20160316,1041138.6004712327
20160317,1052256.0567948564
20160318,1065840.4779275125
20160321,1065885.6194678491
20160322,1059972.877145244
20160323,1056956.5925253595
20160324,1056473.0437911523
20160328,1059727.8835680536
20160329,1067666.7972337909
20160330,1074445.2521780066
20160331,1076508.775082662
20160401,1090965.3411404814
20160404,1084755.0708825316
20160405,1069256.2131368802
20160406,1074100.8072051215
20160407,1054843.2349490332
20160408,1054953.165485601
20160411,1057298.9751546225
20160412,1067342.9502880378
20160413,1085332.1109045194
20160414,1089358.5530575765
20160415,1083822.0234381193
20160418,1089188.2618211245
20160419,1091450.1905967554
20160420,1103524.807012853
20160421,1100155.0410680384
20160422,1101865.2519731992
20160425,1096705.936254394
20160426,1102118.5921095118
20160427,1103361.1766632113
20160428,1087051.2840535846
20160429,1082229.6999314188
20160502,1092180.8831412634
20160503,1081595.9097822928
20160504,1073488.0633391165
20160505,1072776.7095984244
20160506,1072469.3912848257
20160509,1072746.169717378
20160510,1088746.2369746945
20160511,1072722.7675571607
20160512,1069813.706719354
20160513,1055746.8724529317
20160516,1064875.9320728353
20160517,1053997.2161630262
20160518,1065786.592590526
20160519,1051415.3296424574
20160520,1057082.7494900678
20160523,1057879.761955663
20160524,1073217.6364080634
20160525,1085626.909285768
20160526,1079198.3212160352
20160527,1084386.5781759503
20160531,1081209.1088617395
20160601,1082943.12430199
20160602,1086756.046597713
20160603,1077576.1980236773
20160606,1082907.204080772
20160607,1078497.9096662516
20160608,1082709.276437053
20160609,1078077.109632812
20160610,1070020.9453888144
20160613,1062650.4682505163
20160614,1053461.2174952826
20160615,1051470.2518001113
20160616,1054921.9091359228
20160617,1050108.3964164976
20160620,1059438.3375972493
20160621,1062302.0620731025
20160622,1060048.7521314062
20160623,1079985.8447804712
20160624,1027786.5050015997
20160627,1009038.619786405
20160628,1024377.3568497213
20160629,1045980.8267063802
20160630,1054885.7769219794
20160701,1055663.2630221876
20160705,1044124.8059685377
20160706,1046045.0003948988
20160707,1048309.3471963953
20160708,1068250.7398893638
20160711,1074945.937429727
20160712,1091634.487229856
20160713,1096333.7798037848
20160714,1115845.1492381415
20160715,1112017.0885327142
20160718,1118355.014958587
20160719,1114264.1519367364
20160720,1119142.569917066
20160721,1109550.1618188452
20160722,1114026.8440431417
20160725,1112237.8096472772
20160726,1112482.1967765535
20160727,1110890.0921565737
20160728,1111281.4918808283
20160729,1104793.7012589488
20160801,1104647.260582519
20160802,1095125.2465967764
20160803,1103072.9004452548
20160804,1103829.1449787936
20160805,1121241.3274794954
20160808,1122303.8631876407
20160809,1123583.0180299887
20160810,1120942.5559962287
20160811,1130777.5871646742
20160812,1126337.0750690685
20160815,1135172.6732898937
20160816,1132279.240306888
20160817,1133433.3197524562
20160818,1135353.8523451036
20160819,1137812.1747006143
20160822,1138578.0625150523
20160823,1139263.425182733
20160824,1132381.512569074
20160825,1129847.3279000926
20160826,1127230.9221302867
20160829,1133458.3160206676
20160830,1141407.929454778
20160831,1139694.0637202733
20160901,1140218.0458483328
20160902,1145407.2287798056
20160906,1144228.2366738657
20160907,1147953.9609851432
20160908,1152559.4350577767
20160909,1131295.0647959437
20160912,1145505.3316789602
20160913,1124803.927159429
20160914,1120623.267660871
20160915,1132173.9647980228
20160916,1126785.4651768794
20160919,1126727.2648117137
20160920,1126530.5401627421
20160921,1133131.2921372447
20160922,1140138.8560118536
20160923,1127211.6247555497
20160926,1109951.9857283854
20160927,1119296.111399772
20160928,1120787.5768271708
20160929,1098831.7059470438
20160930,1111817.691044784
20161003,1110434.9598430037
20161004,1111773.8230212568
20161005,1126911.8122181487
20161006,1130737.8635515494
20161007,1135913.8797525687
20161010,1142043.75986976
20161011,1128173.1455237898
20161012,1130469.0503607688
20161013,1121778.68083089
20161014,1133071.5298312563
20161017,1125643.7809031862
20161018,1144832.5217718538
20161019,1153508.5581996168
20161020,1158488.822890016
20161021,1159670.2266471114
20161024,1164851.9662139143
20161025,1159902.9052249521
20161026,1162948.056869964
20161027,1166077.8622181162
20161028,1161268.4644672617
20161031,1165083.2297587465
20161101,1159261.7618308137
20161102,1151752.1659744678
20161103,1147557.1665630105
20161104,1145779.083171821
20161107,1175745.02076889
20161108,1177108.5676972957
20161109,1214915.4357576403
20161110,1243543.7601041158
20161111,1254231.9097784627
20161114,1269534.2259989486
20161115,1277124.2750447784
20161116,1264222.6064707122
20161117,1280044.662833055
20161118,1279118.6145486196
20161121,1286908.4011130214
20161122,1287782.5917391658
20161123,1291495.9631313968
20161125,1289853.5008178249
20161128,1284798.3398167395
20161129,1295095.39908608
20161130,1319876.88318271
20161201,1345106.2734802451
20161202,1334206.9642063575
20161205,1354001.1154104723
20161206,1360848.0504919542
20161207,1384888.333669618
20161208,1404214.4645713286
20161209,1410046.730746385
20161212,1393622.6478501144
20161213,1403277.1626823705
20161214,1403288.3556237922
20161215,1415727.719266416
20161216,1401953.222010511
20161219,1401178.177323053
20161220,1417971.703395864
20161221,1412310.662035009
20161222,1404306.627607366
20161223,1408558.4236454368
20161227,1410074.211676786
20161228,1403327.1572753883
20161229,1393310.0692970252
20161230,1394810.0612728095
20170103,1407956.7591330523
20170104,1417380.6277815814
20170105,1411488.2294281686
20170106,1426662.4790609183
20170109,1417989.079137056
20170110,1415999.8356592325
20170111,1430875.816185203
20170112,1422581.6479154255
20170113,1423339.7438131003
20170117,1392811.9592313247
20170118,1385878.2949855055
20170119,1373814.605190965
20170120,1375623.877126819
20170123,1378026.1428856002
20170124,1388271.6063675035
20170125,1405174.9388565172
20170126,1415092.135528169
20170127,1405671.1177563109
20170130,1391632.7060419326
20170131,1373011.5891770967
20170201,1378757.6596536285
20170202,1374429.3232498965
20170203,1418108.4306259952
20170206,1413710.9089650798
20170207,1412912.7861309047
20170208,1406714.7932024263
20170209,1425541.9580164216
20170210,1434710.0357675813
20170213,1450485.7719094062
20170214,1465171.4822270179
20170215,1470933.440211015
20170216,1467992.49138516
20170217,1468082.9430441374
20170221,1477826.5914500002
20170222,1482936.826823459
20170223,1481855.687268684
20170224,1470199.0317573238
20170227,1476603.3272571254
20170228,1471250.8838404708
20170301,1495791.7145827804
20170302,1488736.7115014433
20170303,1493777.9943027701
20170306,1491258.4762935843
20170307,1486122.8177274833
20170308,1482975.819318212
20170309,1483320.046294311
20170310,1479526.4501207653
20170313,1480059.1417787853
20170314,1476777.183389503
20170315,1477910.1163004222
20170316,1482136.4902587885
20170317,1466169.414201507
20170320,1456881.8418634029
20170321,1415532.4573953243
20170322,1402524.5009017368
20170323,1408551.4256397719
20170324,1395449.7154907756
20170327,1385229.2276424938
20170328,1403399.5590859256
20170329,1398731.6839180503
20170330,1408299.4810921645
20170331,1399990.6081978087
20170403,1397534.2773376708
20170404,1396574.78520692
20170405,1389932.909608356
20170406,1394812.2829676967
20170407,1392028.8441134791
20170410,1396014.3579193377
20170411,1390830.4318690314
20170412,1382232.383990766
20170413,1370792.6988728766
20170417,1387967.5317662482
20170418,1347195.9267247443
20170419,1342349.931680511
20170420,1363100.6557739596
20170421,1358108.263993106
20170424,1385676.520793529
20170425,1405647.230275722
20170426,1403017.0029045062
20170427,1400462.0707698893
20170428,1392420.5141101908
20170501,1394747.122562572
20170502,1396469.4496576036
20170503,1398071.9818838611
20170504,1399956.8501852527
20170505,1402388.1995717844
20170508,1394867.4321748575
20170509,1389705.16878527
20170510,1393470.6201792674
20170511,1391915.343648048
20170512,1384293.7714949565
20170515,1393305.938093677
20170516,1391658.9009208179
20170517,1335510.483267984
20170518,1342640.3510127445
20170519,1345435.1316981693
20170522,1350058.0146918253
20170523,1365461.85345334
20170524,1383275.2855727095
20170525,1379235.2154105888
20170526,1384011.7545589195
20170530,1365183.4801371265
20170531,1339430.39970042
20170601,1359216.6894603649
20170602,1355780.0381885448
20170605,1359429.3907977825
20170606,1359249.2432452922
20170607,1367511.8129016643
20170608,1378221.2455668713
20170609,1392018.7923770214
20170612,1387970.6611348414
20170613,1402514.9697858118
20170614,1413713.8978177332
20170615,1395087.5264943729
20170616,1383129.708386768
20170619,1406397.1739591253
20170620,1399189.965455402
20170621,1388731.3806470523
20170622,1375904.2301686893
20170623,1366206.1696187968
20170626,1380923.1305298838
20170627,1378176.2182954077
20170628,1393521.8717911963
20170629,1396281.470282865
20170630,1394626.0279839758
20170703,1417126.5422547583
20170705,1419823.5320531595
20170706,1411334.1315682617
20170707,1408447.0034669128
20170710,1412984.6302941528
20170711,1416546.7525666442
20170712,1422983.9867345672
20170713,1433240.5779723753
20170714,1430134.82467967
20170717,1432141.636044687
20170718,1408059.337490396
20170719,1410861.535652536
20170720,1410986.621956247
20170721,1404012.015545587
20170724,1395720.5861174865
20170725,1410972.0506827636
20170726,1410892.447678308
20170727,1405433.9909407897
20170728,1415725.610050897
20170731,1422931.0130278869
20170801,1433780.5920535007
20170802,1430994.6602313742
20170803,1421238.3729004415
20170804,1445557.7031474796
20170807,1458810.8863216129
20170808,1453411.2743146128
20170809,1449932.255204452
20170810,1421171.9470451751
20170811,1417979.3625929751
20170814,1435611.88130788
20170815,1435840.267753385
20170816,1429590.9040428328
20170817,1407446.2353597826
20170818,1405201.7687372186
20170821,1400737.5143445411
20170822,1417567.3615983406
20170823,1411988.5481370369
20170824,1412262.5880295176
20170825,1411360.3003972755
20170828,1403657.0231633086
20170829,1404116.6488706337
20170830,1414891.5158292518
20170831,1424884.0402491507
20170901,1435845.625236791
20170905,1397941.4804179932
20170906,1401807.030758901
20170907,1390317.1741648153
20170908,1395376.1895363973
20170911,1419532.3915303396
20170912,1442276.5077209487
20170913,1446623.314591064
