datadate,account_value
20160104,1000000.0
20160105,999808.2134659768
20160106,998254.3883212147
20160107,995006.3628050269
20160108,993621.7803627338
20160111,994088.6906492901
20160112,996287.2862520787
20160113,989373.8480751474
20160114,992912.4163448466
20160115,985604.7019597205
20160119,987312.5105364954
20160120,984225.5555618095
20160121,984363.7112371996
20160122,986947.9847199894
20160125,981167.5081968071
20160126,987077.594058526
20160127,984098.9892688933
20160128,986556.8847207003
20160129,994086.6479575549
20160201,993486.8527903643
20160202,986387.2104944655
20160203,990125.5697101444
20160204,991524.0526765294
20160205,985002.7887099901
20160208,981015.2348472963
20160209,981509.2077761923
20160210,978918.0565483347
20160211,973759.9697263703
20160212,980870.2186458517
20160216,987907.1283137006
20160217,995679.1810679385
20160218,992904.6927305267
20160219,992348.9158904732
20160222,1001090.8100878438
20160223,993828.4527698602
20160224,995064.2565864876
20160225,1002479.1544298733
20160226,1001942.3263329056
20160229,998226.6949725444
20160301,1013540.5429659412
20160302,1011918.6013798988
20160303,1014871.0931162995
20160304,1016259.6186565848
20160307,1017464.2394223813
20160308,1011506.5870909527
20160309,1012229.5959551076
20160310,1012698.3822860516
20160311,1023995.8300736111
20160314,1025638.9792526443
20160315,1024453.1079045266
20160316,1025482.7136199616
20160317,1032994.719743865
20160318,1041841.7420838384
20160321,1043353.9649900426
20160322,1041525.6223584604
20160323,1038335.5544654398
20160324,1036360.4171614351
20160328,1036875.5684450044
20160329,1041693.5239548997
20160330,1043006.1870116664
20160331,1039600.6790572901
20160401,1046541.9148485576
20160404,1042294.5283056422
20160405,1035392.5776808958
20160406,1042375.2037351409
20160407,1031125.0845813532
20160408,1031181.8462776633
20160411,1030387.2579190226
20160412,1039162.142154664
20160413,1051886.6600416766
20160414,1052516.2846210948
20160415,1049909.5943618212
20160418,1057235.3191059637
20160419,1066055.167751233
20160420,1072333.475154069
20160421,1068133.0821953593
20160422,1070478.5355470495
20160425,1069929.0978935861
20160426,1071148.4139404423
20160427,1073006.103729396
20160428,1062556.0307205764
20160429,1058509.6448098137
20160502,1064157.1896659976
20160503,1060414.941673135
20160504,1055083.4772447501
20160505,1057684.7470400154
20160506,1060586.7022067194
20160509,1061547.9592284136
20160510,1073363.3204447508
20160511,1057795.1832015791
20160512,1056892.821961654
20160513,1047009.5516038925
20160516,1056455.1704663802
20160517,1048229.7747133666
20160518,1047150.2584243614
20160519,1040229.453902835
20160520,1043000.5370631592
20160523,1041312.4939895946
20160524,1050421.7469688922
20160525,1058373.4466709683
20160526,1057021.352520862
20160527,1060111.2015879243
20160531,1052741.0786128493
20160601,1053068.5289636184
20160602,1058235.5864769584
20160603,1058498.6438006451
20160606,1069293.2627459117
20160607,1067928.0953668226
20160608,1074959.5290480205
20160609,1076409.5464496205
20160610,1069413.4921203684
20160613,1063947.8109048647
20160614,1063404.6770673096
20160615,1060299.6250236104
20160616,1064649.2658326467
20160617,1060063.1869933256
20160620,1068767.5179097285
20160621,1067536.8213248132
20160622,1065482.08668205
20160623,1076333.4074550585
20160624,1045130.6593378424
20160627,1034377.0008031115
20160628,1049844.3645069613
20160629,1066620.4124491934
20160630,1080205.8588037542
20160701,1080746.8530564245
20160705,1077210.386368501
20160706,1082518.3003032203
20160707,1078679.2659587415
20160708,1089844.3775704168
20160711,1092640.2297870687
20160712,1095415.5919606145
20160713,1097471.4331004098
20160714,1102910.6974900125
20160715,1104291.8104889865
20160718,1104711.3262354177
20160719,1109031.270798408
20160720,1109690.1293305773
20160721,1105859.2512852987
20160722,1108148.2044057918
20160725,1101421.4678313497
20160726,1101245.698051637
20160727,1102120.3867827354
20160728,1098390.374063682
20160729,1098165.7265112833
20160801,1094711.2043218208
20160802,1090488.3596172747
20160803,1091250.7493587488
20160804,1089650.589040401
20160805,1096894.433885139
20160808,1096094.1300991264
20160809,1096874.5709364065
20160810,1096808.1706768547
20160811,1101129.007251638
20160812,1100182.1530302234
20160815,1099659.138992557
20160816,1094496.5512312083
20160817,1097208.2245860458
20160818,1098061.0296705794
20160819,1095160.8492943188
20160822,1093769.9425861698
20160823,1094031.2480349499
20160824,1087819.5966872422
20160825,1081678.8824037453
20160826,1079200.4615555378
20160829,1084623.427991695
20160830,1079931.0910419289
20160831,1075471.6967548404
20160901,1074976.7453425594
20160902,1079941.1178087555
20160906,1082491.269294294
20160907,1081502.0772366787
20160908,1080952.9077512356
20160909,1059935.0033940081
20160912,1072787.4034686561
20160913,1059214.2638655126
20160914,1056874.6045399338
20160915,1066543.4998014064
20160916,1067643.2124344422
20160919,1065563.28904565
