datadate,reward
20200403,-1836.4595380782848
20200406,16898.507464217953
20200407,-1973.2856407166691
20200408,15010.698144912487
20200409,7465.297096633818
20200413,-18430.758932495024
20200414,12538.488148116972
20200415,-19753.003203201224
20200416,-14034.257215499878
20200417,52076.91125953675
20200420,-28039.790150943678
20200421,-30692.372718711966
20200422,15134.094211433432
20200423,9966.584712257376
20200424,-2081.3369289168622
20200427,18270.102397949202
20200428,762.9558700561756
20200429,37801.9279805565
20200430,-15700.805351623567
20200501,-35122.73628234863
20200504,-6403.974571228027
20200505,-2074.1888542175293
20200506,-10283.984649658203
20200507,14773.835121154785
20200508,26926.17128753662
20200511,-12044.602165222168
20200512,-21474.61181640625
20200513,-18546.56033706665
20200514,18031.38140106201
20200515,4140.154747009277
20200518,54295.57424545288
20200519,-19694.98027420044
20200520,21181.498916625977
20200521,-3398.670871734619
20200522,-3927.8844604492188
20200526,29375.409576416016
20200527,17333.326972961426
20200528,-3243.3622131347656
20200529,-1674.2718620300293
20200601,5836.344932556152
20200602,11986.373821258545
20200603,41319.66323852539
20200604,10645.530117034912
20200605,51823.7056350708
20200608,37508.90392303467
20200609,-28000.546924591064
20200610,-24680.396419525146
20200611,-101722.78588104248
20200612,36052.23776626587
20200615,4772.9196701049805
20200616,27366.890335083008
20200617,-14064.604904174805
20200618,-862.8890724182129
20200619,-13930.933940887451
20200622,4749.128509521484
20200623,5783.1687660217285
20200624,-40615.99669265747
20200625,8661.768493652344
20200626,-27524.719398498535
20200629,39517.35715866089
20200630,-3132.274829864502
20200701,-4540.380195617676
20200702,6100.497997283936
20200706,22463.23064804077
20200707,-23514.98593521118
20200708,6969.296398162842
20200709,-19899.064449310303
20200710,18619.09730911255
20200713,-3456.7572059631348
20200714,25670.104194641113
20200715,21598.979793548584
20200716,-14783.7719039917
20200717,-4895.579055786133
20200720,-3594.148166656494
20200721,10064.667121887207
20200722,3680.9842681884766
20200723,-9425.284034729004
20200724,-10093.226749420166
20200727,1950.125877380371
20200728,-4957.617012023926
20200729,2669.325542449951
20200730,-19143.08250427246
20200731,-769.8963661193848
20200803,8227.661430358887
20200804,7216.592811584473
20200805,32454.487190246582
20200806,4964.670986175537
20200807,-2728.4504165649414
20200810,23015.989547729492
20200811,2352.261707305908
20200812,5629.840309143066
20200813,-10673.7719039917
20200814,2067.198944091797
20200817,-9249.711078643799
20200818,-3802.82674407959
20200819,-1602.707046508789
20200820,3837.545135498047
20200821,2540.0956840515137
20200824,28026.66619873047
20200825,-7554.500427246094
20200826,1890.3977088928223
20200827,7513.45280456543
20200828,11405.51773071289
20200831,-14489.585830688477
20200901,8808.72985458374
20200902,16892.101390838623
20200903,-35837.04741668701
20200904,104.38957977294922
20200908,-29880.699451446533
20200909,15412.304332733154
20200910,-18072.355157852173
20200911,7037.371412277222
20200914,14876.848491668701
20200915,-8671.29507637024
20200916,8994.264165878296
20200917,-2271.7862701416016
20200918,-16162.34084892273
20200921,-31196.853136062622
20200922,4592.572336196899
20200923,-27226.83924293518
20200924,-4867.443849563599
20200925,20441.096578598022
20200928,26242.48719406128
20200929,-10281.042673110962
20200930,7784.544702529907
20201001,-1559.938346862793
20201002,-2418.5005645751953
20201005,18733.95055770874
20201006,-26847.923500061035
20201007,20006.773092269897
20201008,14138.133237838745
20201009,8084.156343460083
20201012,11475.370746612549
20201013,-12672.608289718628
20201014,-1801.9744720458984
20201015,996.3848762512207
20201016,6940.869577407837
20201019,-17999.230360031128
20201020,5642.044261932373
20201021,-7107.990575790405
20201022,16949.160175323486
20201023,-1108.1146335601807
20201026,-29131.174880981445
20201027,-21623.473316192627
20201028,-46799.41592216492
20201029,17524.821140289307
20201030,-10768.750106811523
20201102,21024.0261592865
20201103,21808.890371322632
20201104,-4162.399545669556
20201105,28527.214124679565
20201106,442.1073055267334
20201109,85084.32628631592
20201110,16847.50950050354
20201111,-15835.398536682129
20201112,-17652.86436843872
20201113,27751.30985069275
20201116,36607.72137451172
20201117,2713.5033950805664
20201118,-17105.496129989624
20201119,2227.4666500091553
20201120,-14720.048629760742
20201123,28884.62286376953
20201124,29846.82514190674
20201125,-8160.300193786621
20201127,-3384.2705116271973
20201130,-12248.196025848389
20201201,13148.23685836792
20201202,21339.346183776855
20201203,13444.188571929932
20201204,14140.177284240723
20201207,-549.1446228027344
20201208,6859.773242950439
20201209,-5771.31298828125
20201210,-525.7647743225098
20201211,14689.19193649292
20201214,-20063.652767181396
20201215,22455.22226333618
20201216,-6725.213092803955
20201217,2378.221523284912
20201218,-1434.834186553955
20201221,-4840.47790145874
20201222,-7030.925064086914
20201223,7423.124271392822
20201224,2750.6233253479004
20201228,12143.87186050415
20201229,-2273.411060333252
20201230,13321.69235610962
20201231,2794.10404586792
20210104,-24135.84796524048
20210105,19226.994495391846
20210106,17881.905723571777
20210107,15386.819702148438
20210108,550.471809387207
20210111,-776.5837898254395
20210112,3003.2505683898926
20210113,-4102.58927154541
20210114,-1456.3877639770508
20210115,-18641.594188690186
20210119,13306.43395614624
20210120,5980.364395141602
20210121,-11826.506942749023
20210122,-2237.6829948425293
20210125,-5649.2187576293945
20210126,-1894.7217254638672
20210127,-39538.73587799072
20210128,23656.86521911621
20210129,-29733.601512908936
20210201,8400.600261688232
20210202,32314.17151260376
20210203,4926.591793060303
20210204,26407.489212036133
20210205,2474.6119537353516
20210208,21272.519207000732
20210209,-2193.0419692993164
20210210,-5310.5508460998535
20210211,1908.4480590820312
20210212,264.55821228027344
20210216,7399.999946594238
20210217,-1521.576545715332
20210218,-14176.16514968872
20210219,15585.698791503906
20210222,13887.565536499023
20210223,10516.831195831299
20210224,38633.66608428955
20210225,-37075.15967178345
20210226,-24920.991550445557
20210301,43935.22985458374
20210302,-10485.740577697754
20210303,1872.2046737670898
20210304,-19706.790405273438
20210305,22810.372703552246
20210308,19968.44899749756
20210309,-3028.184211730957
20210310,31091.096702575684
20210311,10995.338958740234
20210312,28727.218223571777
20210315,-705.4455680847168
20210316,-17410.824867248535
20210317,17903.338172912598
20210318,-23280.75796508789
20210319,-22392.143558502197
20210322,-1812.3049964904785
20210323,-29293.63604736328
20210324,-10.900760650634766
20210325,17407.586311340332
20210326,19025.388011932373
20210329,4757.9873046875
20210330,-895.3454399108887
20210331,-2827.56693649292
20210401,12168.112506866455
20210405,11767.417957305908
20210406,-9349.047996520996
20210407,-1548.7231636047363
20210408,3493.0851707458496
20210409,3356.046703338623
20210412,-6939.716125488281
20210413,-48.10947036743164
20210414,3749.1387481689453
20210415,4702.057140350342
20210416,2962.0072860717773
20210419,-4667.377407073975
20210420,-27317.680152893066
20210421,17363.53000640869
20210422,-15054.580348968506
20210423,16765.01340484619
20210426,4537.19185256958
20210427,2690.460750579834
20210428,-1788.0864448547363
20210429,4673.965354919434
20210430,-10543.944763183594
20210503,8363.226547241211
20210504,2696.3626556396484
20210505,1074.4096755981445
20210506,10819.562438964844
20210507,19892.80699157715
20210510,-10196.217010498047
20210511,-18190.055809020996
20210512,-26464.886394500732
20210513,17486.016227722168
20210514,16301.72261428833
20210517,3786.8578147888184
20210518,-14210.437824249268
20210519,-12135.79574584961
20210520,8816.863498687744
20210521,10216.136737823486
20210524,14760.236492156982
20210525,-4449.459056854248
20210526,-388.65357208251953
20210527,16889.567798614502
20210528,-4548.345623016357
20210601,10335.315399169922
20210602,4337.591499328613
20210603,-5619.479038238525
20210604,6493.679626464844
20210607,-4646.885871887207
20210608,1238.7459602355957
20210609,-8157.151851654053
20210610,-6532.314960479736
20210611,-5868.776401519775
20210614,-4688.5255699157715
20210615,-774.8865814208984
20210616,-11204.350067138672
20210617,-16205.505809783936
20210618,-19948.357929229736
20210621,29721.940757751465
20210622,1065.2810554504395
20210623,-716.4271354675293
20210624,19232.94367980957
20210625,-585.0923118591309
20210628,-15462.7795753479
20210629,-5979.117771148682
20210630,10831.528289794922
20210701,7407.4445877075195
20210702,7256.903335571289
20210706,-14685.49744796753
20210707,-297.1927185058594
20210708,-6353.208950042725
20210709,24597.82573699951
20210712,7410.249740600586
20210713,-12604.14049911499
20210714,-1862.539478302002
20210715,-2124.0312423706055
20210716,-25404.07036972046
20210719,-46107.39414978027
20210720,32174.569213867188
20210721,17941.388301849365
20210722,-5791.465633392334
20210723,10467.183563232422
20210726,13559.544891357422
20210727,-4118.5813636779785
20210728,5038.29084777832
20210729,4532.3109130859375
20210730,-17726.382831573486
20210802,-10851.095928192139
20210803,9841.092403411865
20210804,-15186.274158477783
20210805,16621.112854003906
20210806,9590.551280975342
20210809,-2062.61466217041
20210810,11967.989204406738
20210811,13391.390357971191
20210812,649.2346801757812
20210813,-4892.503360748291
20210816,-4344.42049407959
20210817,-17614.500312805176
20210818,-22876.906707763672
