datadate,account_value
20200402,1000000.0
20200403,998163.5404619217
20200406,1015062.0479261397
20200407,1013088.762285423
20200408,1028099.4604303355
20200409,1035564.7575269693
20200413,1017133.9985944743
20200414,1029672.4867425913
20200415,1009919.48353939
20200416,995885.2263238902
20200417,1047962.1375834269
20200420,1019922.3474324832
20200421,989229.9747137713
20200422,1004364.0689252047
20200423,1014330.6536374621
20200424,1012249.3167085452
20200427,1030519.4191064944
20200428,1031282.3749765506
20200429,1069084.302957107
20200430,1053383.4976054835
20200501,1018260.7613231349
20200504,1011856.7867519069
20200505,1009782.5978976893
20200506,999498.6132480311
20200507,1014272.4483691859
20200508,1041198.6196567225
20200511,1029154.0174915004
20200512,1007679.4056750941
20200513,989132.8453380275
20200514,1007164.2267390895
20200515,1011304.3814860987
20200518,1065599.9557315516
20200519,1045904.9754573512
20200520,1067086.4743739772
20200521,1063687.8035022425
20200522,1059759.9190417933
20200526,1089135.3286182093
20200527,1106468.6555911708
20200528,1103225.293378036
20200529,1101551.021516006
20200601,1107387.3664485621
20200602,1119373.7402698207
20200603,1160693.403508346
20200604,1171338.933625381
20200605,1223162.6392604518
20200608,1260671.5431834864
20200609,1232670.9962588954
20200610,1207990.5998393702
20200611,1106267.8139583278
20200612,1142320.0517245936
20200615,1147092.9713946986
20200616,1174459.8617297816
20200617,1160395.2568256068
20200618,1159532.3677531886
20200619,1145601.4338123011
20200622,1150350.5623218226
20200623,1156133.7310878444
20200624,1115517.7343951869
20200625,1124179.5028888392
20200626,1096654.7834903407
20200629,1136172.1406490016
20200630,1133039.865819137
20200701,1128499.4856235194
20200702,1134599.9836208033
20200706,1157063.214268844
20200707,1133548.228333633
20200708,1140517.5247317958
20200709,1120618.4602824855
20200710,1139237.557591598
20200713,1135780.8003856349
20200714,1161450.904580276
20200715,1183049.8843738246
20200716,1168266.1124698329
20200717,1163370.5334140467
20200720,1159776.3852473903
20200721,1169841.0523692775
20200722,1173522.036637466
20200723,1164096.752602737
20200724,1154003.5258533168
20200727,1155953.6517306971
20200728,1150996.0347186732
20200729,1153665.3602611232
20200730,1134522.2777568507
20200731,1133752.3813907313
20200803,1141980.0428210902
20200804,1149196.6356326747
20200805,1181651.1228229213
20200806,1186615.7938090968
20200807,1183887.3433925319
20200810,1206903.3329402613
20200811,1209255.5946475673
20200812,1214885.4349567103
20200813,1204211.6630527186
20200814,1206278.8619968104
20200817,1197029.1509181666
20200818,1193226.324174087
20200819,1191623.6171275782
20200820,1195461.1622630763
20200821,1198001.2579471278
20200824,1226027.9241458583
20200825,1218473.4237186122
20200826,1220363.821427505
20200827,1227877.2742320704
20200828,1239282.7919627833
20200831,1224793.2061320948
20200901,1233601.9359866786
20200902,1250494.0373775172
20200903,1214656.9899608302
20200904,1214761.3795406031
20200908,1184880.6800891566
20200909,1200292.9844218898
20200910,1182220.6292640376
20200911,1189258.0006763148
20200914,1204134.8491679835
20200915,1195463.5540916133
20200916,1204457.8182574916
20200917,1202186.03198735
20200918,1186023.6911384272
20200921,1154826.8380023646
20200922,1159419.4103385615
20200923,1132192.5710956263
20200924,1127325.1272460627
20200925,1147766.2238246608
20200928,1174008.711018722
20200929,1163727.668345611
20200930,1171512.213048141
20201001,1169952.2747012782
20201002,1167533.774136703
20201005,1186267.7246944117
20201006,1159419.8011943507
20201007,1179426.5742866206
20201008,1193564.7075244593
20201009,1201648.8638679194
20201012,1213124.234614532
20201013,1200451.6263248133
20201014,1198649.6518527674
20201015,1199646.0367290187
20201016,1206586.9063064265
20201019,1188587.6759463954
20201020,1194229.7202083278
20201021,1187121.7296325373
20201022,1204070.8898078608
20201023,1202962.7751743007
20201026,1173831.6002933192
20201027,1152208.1269771266
20201028,1105408.7110549617
20201029,1122933.532195251
20201030,1112164.7820884394
20201102,1133188.808247726
20201103,1154997.6986190486
20201104,1150835.299073379
20201105,1179362.5131980586
20201106,1179804.6205035853
20201109,1264888.9467899012
20201110,1281736.4562904048
20201111,1265901.0577537226
20201112,1248248.193385284
20201113,1275999.5032359767
20201116,1312607.2246104884
20201117,1315320.728005569
20201118,1298215.2318755793
20201119,1300442.6985255885
20201120,1285722.6498958278
20201123,1314607.2727595973
20201124,1344454.097901504
20201125,1336293.7977077174
20201127,1332909.5271960902
20201130,1320661.3311702418
20201201,1333809.5680286097
20201202,1355148.9142123866
20201203,1368593.1027843165
20201204,1382733.2800685572
20201207,1382184.1354457545
20201208,1389043.908688705
20201209,1383272.5957004237
20201210,1382746.8309261012
20201211,1397436.022862594
20201214,1377372.3700954127
20201215,1399827.592358749
20201216,1393102.379265945
20201217,1395480.6007892299
20201218,1394045.766602676
20201221,1389205.2887012172
20201222,1382174.3636371302
20201223,1389597.487908523
20201224,1392348.111233871
20201228,1404491.983094375
20201229,1402218.5720340419
20201230,1415540.2643901515
20201231,1418334.3684360194
20210104,1394198.520470779
20210105,1413425.5149661708
20210106,1431307.4206897425
20210107,1446694.240391891
20210108,1447244.7122012782
20210111,1446468.1284114528
20210112,1449471.3789798426
20210113,1445368.7897082972
20210114,1443912.4019443202
20210115,1425270.80775563
20210119,1438577.2417117762
20210120,1444557.6061069178
20210121,1432731.0991641688
20210122,1430493.4161693263
20210125,1424844.197411697
20210126,1422949.475686233
20210127,1383410.7398082423
20210128,1407067.6050273585
20210129,1377334.0035144496
20210201,1385734.6037761378
20210202,1418048.7752887416
20210203,1422975.3670818019
20210204,1449382.856293838
20210205,1451857.4682475734
20210208,1473129.987454574
20210209,1470936.9454852748
20210210,1465626.394639175
20210211,1467534.842698257
20210212,1467799.4009105372
20210216,1475199.4008571315
20210217,1473677.8243114161
20210218,1459501.6591617274
20210219,1475087.3579532313
20210222,1488974.9234897303
20210223,1499491.7546855616
20210224,1538125.4207698512
20210225,1501050.2610980677
20210226,1476129.2695476222
20210301,1520064.499402206
20210302,1509578.7588245082
20210303,1511450.9634982753
20210304,1491744.1730930018
20210305,1514554.545796554
20210308,1534522.9947940516
20210309,1531494.8105823207
20210310,1562585.9072848964
20210311,1573581.2462436366
20210312,1602308.4644672084
20210315,1601603.0188991237
20210316,1584192.194031875
20210317,1602095.5322047877
20210318,1578814.7742396998
20210319,1556422.6306811976
20210322,1554610.3256847071
20210323,1525316.6896373439
20210324,1525305.7888766932
20210325,1542713.3751880336
20210326,1561738.763199966
20210329,1566496.7505046534
20210330,1565601.4050647425
20210331,1562773.8381282496
20210401,1574941.950635116
20210405,1586709.368592422
20210406,1577360.320595901
20210407,1575811.5974322963
20210408,1579304.682603042
20210409,1582660.7293063807
20210412,1575721.0131808924
20210413,1575672.903710525
20210414,1579422.042458694
20210415,1584124.0995990443
20210416,1587086.106885116
20210419,1582418.729478042
20210420,1555101.049325149
20210421,1572464.5793315577
20210422,1557409.9989825892
20210423,1574175.0123874354
20210426,1578712.204240005
20210427,1581402.6649905848
20210428,1579614.57854573
20210429,1584288.5439006495
20210430,1573744.599137466
20210503,1582107.8256847071
20210504,1584804.1883403468
20210505,1585878.598015945
20210506,1596698.1604549098
20210507,1616590.967446487
20210510,1606394.750435989
20210511,1588204.694626968
20210512,1561739.8082324672
20210513,1579225.8244601893
20210514,1595527.5470744777
20210517,1599314.4048892665
20210518,1585103.9670650172
20210519,1572968.1713191676
20210520,1581785.0348178553
20210521,1592001.1715556788
20210524,1606761.4080478358
20210525,1602311.9489909816
20210526,1601923.295418899
20210527,1618812.8632175135
20210528,1614264.5175944972
20210601,1624599.832993667
20210602,1628937.4244929957
20210603,1623317.9454547572
20210604,1629811.625081222
20210607,1625164.7392093348
20210608,1626403.4851695704
20210609,1618246.3333179164
20210610,1611714.0183574366
20210611,1605845.2419559169
20210614,1601156.716386001
20210615,1600381.8298045802
20210616,1589177.4797374415
20210617,1572971.9739276576
20210618,1553023.6159984278
20210621,1582745.5567561793
20210622,1583810.8378116298
20210623,1583094.4106761622
20210624,1602327.3543559718
20210625,1601742.2620441127
20210628,1586279.4824687648
20210629,1580300.364697616
20210630,1591131.892987411
20210701,1598539.3375751185
20210702,1605796.2409106898
20210706,1591110.7434627223
20210707,1590813.5507442164
20210708,1584460.3417941737
20210709,1609058.1675311732
20210712,1616468.4172717738
20210713,1603864.2767726588
20210714,1602001.7372943568
20210715,1599877.7060519862
20210716,1574473.6356822657
20210719,1528366.2415324855
20210720,1560540.8107463527
20210721,1578482.199048202
20210722,1572690.7334148097
20210723,1583157.916978042
20210726,1596717.4618693995
20210727,1592598.8805057216
20210728,1597637.1713534999
20210729,1602169.4822665858
20210730,1584443.0994350123
20210802,1573592.0035068202
20210803,1583433.095910232
20210804,1568246.8217517543
20210805,1584867.9346057582
20210806,1594458.4858867335
20210809,1592395.871224563
20210810,1604363.8604289698
20210811,1617755.250786941
20210812,1618404.4854671168
20210813,1613511.9821063685
20210816,1609167.561612289
20210817,1591553.0612994838
20210818,1568676.15459172
20210819,1553202.1650325465
20210820,1559928.8474589991
20210823,1583128.7232486415
20210824,1590217.1107265162
20210825,1590912.3993732142
20210826,1575285.79679219
20210827,1591895.3014384913
20210830,1585126.34814183
20210831,1582516.5655833888
20210901,1579990.4329501796
20210902,1586498.6628390956
