datadate,account_value
20201005,1611543.3690525568
20201006,1608384.5240635432
20201007,1615348.7641958753
20201008,1622413.2786953487
20201009,1626371.63566728
20201012,1638378.4710037746
20201013,1625674.3083521402
20201014,1618326.855827383
20201015,1618780.2808649577
20201016,1626712.8330105038
20201019,1604422.2539089413
20201020,1608451.8124035092
20201021,1601053.928118536
20201022,1617388.8349941464
20201023,1618142.6448848934
20201026,1582974.7733333798
20201027,1565058.3331173153
20201028,1513395.9123714657
20201029,1511882.525357519
20201030,1511882.525357519
20201102,1511882.525357519
20201103,1511882.525357519
20201104,1511882.525357519
20201105,1511882.525357519
20201106,1511882.525357519
20201109,1511882.525357519
20201110,1511882.525357519
20201111,1532522.1107687815
20201112,1528448.89225453
20201113,1538168.29331616
20201116,1550772.1064270837
20201117,1547881.306356321
20201118,1529389.6919382913
20201119,1528193.9123598917
20201120,1517998.7840494975
20201123,1535655.866023527
20201124,1565109.8172488078
20201125,1560006.3896670206
20201127,1561676.591136442
20201130,1544829.4560580119
20201201,1563316.258449064
20201202,1586884.0557055338
20201203,1597585.1444582804
20201204,1606915.1023058756
20201207,1602812.9055285319
20201208,1611530.96231793
20201209,1605420.957667814
20201210,1602058.4693522318
20201211,1593543.1693034037
20201214,1581356.164901243
20201215,1601548.5654597147
20201216,1602871.2028078898
20201217,1606235.80424069
20201218,1598781.3836054667
20201221,1607490.028171049
20201222,1599487.3337168559
20201223,1606576.9718890055
20201224,1610923.0803561076
20201228,1622609.9654230936
20201229,1621588.5933489664
20201230,1620117.071895109
20201231,1632278.053939329
20210104,1609451.514663206
