datadate,account_value
20220104,1758871.6735995733
20220105,1764198.1012610341
20220106,1758730.130274004
20220107,1748616.1129098989
20220110,1727382.4414002858
20220111,1731069.1870883887
20220112,1738160.0323277074
20220113,1741389.1424178106
20220114,1723033.235519312
20220118,1712886.8689040167
20220119,1686611.2759779913
20220120,1661578.5559844
20220121,1659917.010687983
20220124,1659917.010687983
20220125,1659917.010687983
20220126,1659917.010687983
20220127,1659917.010687983
20220128,1659917.010687983
20220131,1659917.010687983
20220201,1659917.010687983
20220202,1659917.010687983
20220203,1659917.010687983
20220204,1659917.010687983
20220207,1659917.010687983
20220208,1659917.010687983
20220209,1659917.010687983
20220210,1659917.010687983
20220211,1659917.010687983
20220214,1659917.010687983
20220215,1659917.010687983
20220216,1659917.010687983
20220217,1659917.010687983
20220218,1659917.010687983
20220222,1659917.010687983
20220223,1659917.010687983
20220224,1659917.010687983
20220225,1659917.010687983
20220228,1659917.010687983
20220301,1659917.010687983
20220302,1659917.010687983
20220303,1659917.010687983
20220304,1659917.010687983
20220307,1659917.010687983
20220308,1659917.010687983
20220309,1659917.010687983
20220310,1659917.010687983
20220311,1659917.010687983
20220314,1659917.010687983
20220315,1659917.010687983
20220316,1659917.010687983
20220317,1659917.010687983
20220318,1659917.010687983
20220321,1659917.010687983
20220322,1659917.010687983
20220323,1659917.010687983
20220324,1659917.010687983
20220325,1659917.010687983
20220328,1659917.010687983
20220329,1659917.010687983
20220330,1659917.010687983
20220331,1659917.010687983
20220401,1659917.010687983
20220404,1659917.010687983
