datadate,account_value
20200707,1801063.5461748021
20200708,1787287.8079876148
20200709,1770276.4712935765
20200710,1785097.019590875
20200713,1783018.7586191876
20200714,1815284.1157888232
20200715,1824138.564897176
20200716,1815840.551876775
20200717,1811278.8014226926
20200720,1823846.6770648968
20200721,1832156.1584447147
20200722,1854680.5856206333
20200723,1825923.3411391766
20200724,1820729.6028020985
20200727,1828952.1611487248
20200728,1804919.9404364903
20200729,1816923.9725877163
20200730,1812348.1852225773
20200731,1822725.4385662396
20200803,1856059.0498908474
20200804,1860433.31651217
20200805,1873947.1975479862
20200806,1893939.7216682332
20200807,1893807.7677366917
20200810,1894653.5476569568
20200811,1878501.0908508352
20200812,1906720.8738188564
20200813,1907420.291903024
20200814,1909602.973544061
20200817,1912378.827964288
20200818,1922956.8408979238
20200819,1918799.4569093145
20200820,1934650.8606753093
20200821,1950262.4612785543
20200824,1964925.697712499
20200825,1967779.92589874
20200826,1981939.6494741032
20200827,1990866.3939067356
20200828,2007100.8076441244
20200831,2004512.0842670263
20200901,2015708.6791028036
20200902,2040166.732509683
20200903,1962191.804213403
20200904,1948490.5921957868
20200908,1901853.205011453
20200909,1945771.2392660687
20200910,1917519.1241236508
20200911,1920805.362033174
20200914,1942292.877088319
20200915,1952984.1219899228
20200916,1944339.7452637723
20200917,1924857.7248230297
20200918,1904862.9175694725
20200921,1892131.900812381
20200922,1908008.2610954621
20200923,1883984.7261438705
20200924,1894038.6991606248
20200925,1922449.3973606445
20200928,1944816.9704785494
20200929,1931034.7297957605
20200930,1948827.8513540337
20201001,1951666.2717921135
20201002,1933189.4427724716
