datadate,account_value
20161003,1032044.4569358808
20161004,1022955.7770644648
20161005,1031270.2065828154
20161006,1031920.0257937185
20161007,1032706.8093647845
20161010,1038907.7712296755
20161011,1029279.4364119951
20161012,1029382.9769193423
20161013,1025770.2635774576
20161014,1027344.3697238314
20161017,1024265.9101984579
20161018,1024511.6769916441
20161019,1026205.2724905073
20161020,1023311.8214933702
20161021,1020057.5966616499
20161024,1023421.0387032321
20161025,1024822.7918357031
20161026,1033827.5609544852
20161027,1032718.9387843345
20161028,1026197.2288026774
20161031,1021896.3236244146
20161101,1019290.4007117198
20161102,1014843.4323866504
20161103,1013482.2455215609
20161104,1010203.06332642
20161107,1031246.7477144244
20161108,1036716.6027441694
20161109,1054008.118219334
20161110,1063788.28062624
20161111,1063682.3626703685
20161114,1066411.3356050018
20161115,1072092.4231944105
20161116,1063677.8575154021
20161117,1064717.6823503058
20161118,1064645.3858598159
20161121,1070123.050536833
20161122,1074412.7745804503
20161123,1077369.1783643172
20161125,1081285.925353411
20161128,1077922.1268135835
20161129,1079375.1400262949
20161130,1083312.5320264646
20161201,1089544.7929595644
20161202,1087261.5258472941
20161205,1094128.6198454706
20161206,1096635.9540902865
20161207,1109955.632725113
20161208,1114971.0095803512
20161209,1123396.3500414812
20161212,1129950.664213154
20161213,1136582.0090887912
20161214,1125648.9044415648
20161215,1128336.8243200532
20161216,1128012.3551649859
20161219,1130193.6371454927
20161220,1134450.5663380625
20161221,1133820.0159362224
20161222,1135857.119697718
20161223,1137167.138877085
20161227,1136401.9116551937
20161228,1129522.9669286844
20161229,1128606.912059994
20161230,1127358.489184023
