datadate,account_value
20210105,1934556.9936663085
20210106,2007689.203085559
20210107,2021793.4430338317
20210108,2020402.6224810057
20210111,2017058.4780870848
20210112,2035219.9494615966
20210113,2027056.259245532
20210114,2032266.8360849791
20210115,2012094.522780078
20210119,2039171.8308359557
20210120,2054027.3015963011
20210121,2038446.4880815917
20210122,2033231.7680193358
20210125,2003390.8585726195
20210126,1978617.7486406737
20210127,1924336.282293933
20210128,1968179.908880847
20210129,1932832.5509134703
20210201,1943616.6398989134
20210202,1993682.035708087
20210203,2011087.953348773
20210204,2046040.1151606017
20210205,2050563.538038867
20210208,2074310.080378192
20210209,2071599.5819803649
20210210,2071879.121634143
20210211,2068522.6064363888
20210212,2074736.9817453795
20210216,2097418.6090914183
20210217,2095745.034449237
20210218,2075523.6964136534
20210219,2114959.4965502196
20210222,2111630.843710559
20210223,2104771.8793398314
20210224,2162916.5460955077
20210225,2107681.847895282
20210226,2083775.0473314696
20210301,2150096.8778253966
20210302,2140001.145270007
20210303,2156761.0991503173
20210304,2129200.7794367247
20210305,2156281.2886911803
20210308,2180423.380552905
20210309,2185593.7444483214
20210310,2247284.131472247
20210311,2277382.11360802
20210312,2343116.4699922972
20210315,2341939.6979280883
20210316,2300547.500990527
20210317,2335237.469893115
20210318,2304029.7874781066
20210319,2286826.12053551
20210322,2275265.406977313
20210323,2221854.1519686156
20210324,2223511.1458689147
20210325,2258645.8161226683
20210326,2278253.875250476
20210329,2287194.428553241
20210330,2301827.9713732176
20210331,2302534.6296564513
20210401,2315503.0033708983
20210405,2352346.7486940795
20210406,2339174.672403949
